s,a,r,sp
1234567,1,-1000000,1234567
1234567,2,-1000000,1234567
1234567,2,-1000000,1234567
1234567,8,207322.81111837737,12345678
12345678,2,-1000000,12345678
12345678,6,-1000000,12345678
12345678,0,2337198.5719663454,012345678
012345678,5,-1000000,012345678
,8,2808594.1048810845,8
8,4,336759.2605254906,48
48,6,0.0,468
468,1,42322.145591372624,1468
1468,4,-1000000,1468
1468,3,0.0,13468
13468,1,-1000000,13468
13468,1,-1000000,13468
13468,2,2683405.237817609,123468
123468,3,-1000000,123468
123468,7,38698.59217619058,1234678
1234678,5,-38698.59217619058,12345678
12345678,4,-1000000,12345678
12345678,1,-1000000,12345678
12345678,4,-1000000,12345678
12345678,7,-1000000,12345678
12345678,7,-1000000,12345678
12345678,5,-1000000,12345678
12345678,4,-1000000,12345678
12345678,8,-1000000,12345678
12345678,5,-1000000,12345678
12345678,6,-1000000,12345678
12345678,4,-1000000,12345678
12345678,7,-1000000,12345678
12345678,6,-1000000,12345678
12345678,1,-1000000,12345678
12345678,1,-1000000,12345678
12345678,4,-1000000,12345678
12345678,2,-1000000,12345678
12345678,4,-1000000,12345678
12345678,5,-1000000,12345678
12345678,5,-1000000,12345678
12345678,2,-1000000,12345678
12345678,0,2340106.915253658,012345678
012345678,4,-1000000,012345678
,5,2917094.6763157896,5
5,7,6373.250960352831,57
57,8,14157.589408639818,578
578,2,-2451.323829350993,2578
2578,2,-1000000,2578
2578,7,-1000000,2578
2578,1,2935906.5559601258,12578
12578,8,-1000000,12578
12578,6,2475132.7582064047,125678
125678,4,-2475132.7582064047,1245678
1245678,0,2340106.915253658,01245678
01245678,8,-1000000,01245678
01245678,5,-1000000,01245678
01245678,4,-1000000,01245678
01245678,0,-1000000,01245678
01245678,8,-1000000,01245678
01245678,5,-1000000,01245678
01245678,2,-1000000,01245678
01245678,4,-1000000,01245678
01245678,7,-1000000,01245678
01245678,1,-1000000,01245678
01245678,8,-1000000,01245678
01245678,0,-1000000,01245678
01245678,2,-1000000,01245678
01245678,0,-1000000,01245678
01245678,5,-1000000,01245678
01245678,6,-1000000,01245678
01245678,2,-1000000,01245678
01245678,2,-1000000,01245678
01245678,4,-1000000,01245678
01245678,7,-1000000,01245678
01245678,8,-1000000,01245678
01245678,1,-1000000,01245678
